number of books,serial Time taken,parallel Time taken
1,42,16
1,42,14
1,41,14
1,43,12
1,41,14
1,42,15
1,43,12
1,43,2239
1,47,14
1,64,13
1,45,17
1,54,21
1,42,82
1,42,11
1,43,11
1,41,13
1,42,16
1,42,10
1,42,11
1,45,11
1,42,11
1,42,10
1,42,10
1,45,19
1,47,12
1,45,16
1,44,14
1,43,11
1,42,11
1,43,11
1,42,12
1,40,13
1,42,13
1,43,12
1,44,12
1,41,11
1,44,12
1,43,13
1,42,11
1,41,11
1,41,11
1,43,11
1,42,10
1,42,12
1,43,16
1,43,12
1,43,11
1,41,10
1,46,13
1,43,11
1,42,12
1,43,14
1,41,11
1,41,13
1,42,17
1,42,11
1,41,17
1,42,11
1,42,11
1,41,11
1,42,11
1,40,10
1,41,11
1,51,12
1,42,13
1,42,13
1,41,10
1,41,10
1,41,11
1,42,12
1,41,12
1,41,11
1,43,12
1,42,12
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,40,10
1,42,12
1,41,10
1,41,11
1,42,12
1,42,14
1,42,10
1,41,10
1,41,10
1,40,10
1,41,11
1,41,10
1,41,11
1,40,11
1,41,11
1,42,15
1,41,11
1,41,11
1,41,12
1,41,11
1,42,10
1,41,11
1,41,11
1,40,13
1,41,13
1,44,16
1,44,14
1,41,10
1,41,11
1,41,14
1,41,11
1,41,10
1,41,11
1,41,12
1,41,11
1,41,11
1,41,11
1,42,11
1,41,11
1,41,11
1,41,14
1,42,11
1,42,14
1,41,11
1,42,14
1,43,14
1,42,12
1,43,15
1,46,11
1,41,10
1,42,11
1,43,12
1,41,12
1,41,11
1,41,13
1,42,11
1,41,12
1,41,10
1,41,14
1,42,11
1,42,12
1,41,12
1,43,12
1,41,11
1,42,13
1,42,15
1,44,12
1,42,13
1,42,11
1,42,13
1,41,10
1,41,11
1,41,11
1,42,11
1,42,11
1,41,11
1,41,14
1,41,11
1,41,11
1,41,10
1,41,12
1,41,12
1,41,10
1,41,29
1,43,13
1,42,13
1,42,12
1,43,13
1,41,11
1,41,11
1,42,14
1,43,11
1,41,11
1,42,11
1,43,11
1,42,13
1,41,12
1,41,15
1,43,11
1,41,11
1,41,10
1,41,13
1,41,11
1,42,11
1,47,13
1,43,14
1,43,13
1,42,12
1,41,13
1,41,12
1,41,10
1,41,11
1,42,11
1,42,11
1,41,11
1,42,11
1,43,15
1,41,11
1,41,11
1,41,11
1,42,11
1,42,11
1,41,11
1,47,11
1,41,11
1,42,12
1,42,14
1,44,19
1,41,10
1,41,10
1,41,12
1,42,11
1,42,10
1,42,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,29
1,42,11
1,41,12
1,44,9
1,41,10
1,41,9
1,41,11
1,42,11
1,42,12
1,42,11
1,43,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,44,15
1,42,12
1,42,13
1,41,12
1,41,11
1,42,10
1,41,9
1,42,12
1,40,10
1,40,10
1,41,10
1,41,10
1,41,9
1,41,9
1,41,11
1,42,10
1,41,10
1,41,10
1,41,12
1,41,10
1,41,10
1,41,12
1,42,13
1,41,10
1,41,9
1,41,9
1,41,13
1,42,10
1,41,10
1,50,12
1,41,10
1,41,10
1,41,9
1,41,12
1,41,10
1,41,10
1,41,10
1,41,13
1,42,11
1,42,10
1,41,10
1,42,13
1,41,12
1,41,11
1,41,12
1,42,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,42,13
1,42,10
1,41,10
1,41,11
1,42,10
1,41,10
1,41,10
1,41,12
1,41,10
1,41,9
1,41,12
1,41,14
1,41,12
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,11
1,41,10
1,41,11
1,41,12
1,42,12
1,44,10
1,42,10
1,41,10
1,43,12
1,41,10
1,41,9
1,41,10
1,42,10
1,41,12
1,42,13
1,42,12
1,42,10
1,41,10
1,41,10
1,41,11
1,41,9
1,41,10
1,41,10
1,42,10
1,41,10
1,41,9
1,41,11
1,43,10
1,41,10
1,41,10
1,41,13
1,41,10
1,41,10
1,41,10
1,43,15
1,42,12
1,41,13
1,41,11
1,42,10
1,41,11
1,42,11
1,43,12
1,42,11
1,42,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,42,10
1,43,10
1,41,10
1,41,12
1,41,11
1,43,12
1,41,11
1,41,10
1,42,13
1,42,11
1,41,10
1,41,10
1,42,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,11
1,42,12
1,41,11
1,41,10
1,40,10
1,41,10
1,41,12
1,41,13
1,42,13
1,43,15
1,41,12
1,41,9
1,41,12
1,41,10
1,43,11
1,41,10
1,41,10
1,42,12
1,42,10
1,41,10
1,41,11
1,41,12
1,41,11
1,41,11
1,41,10
1,42,12
1,42,11
1,42,10
1,56,14
1,43,14
1,42,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,12
1,41,10
1,41,10
1,41,10
1,41,12
1,41,10
1,41,11
1,41,12
1,42,12
1,41,11
1,42,10
1,43,12
1,42,11
1,42,12
1,42,12
1,42,11
1,41,13
1,41,10
1,41,11
1,42,10
1,41,11
1,41,10
1,41,12
1,42,10
1,41,10
1,41,10
1,42,11
1,41,10
1,41,9
1,41,10
1,41,11
1,41,10
1,41,10
1,41,11
1,43,14
1,42,12
1,41,10
1,41,12
1,40,10
1,41,10
1,41,10
1,42,12
1,40,11
1,41,11
1,41,11
1,43,11
1,41,12
1,42,12
1,41,13
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,12
1,41,13
1,42,11
1,41,10
1,41,13
1,42,13
1,41,10
1,41,11
1,41,11
1,41,10
1,41,11
1,41,10
1,41,11
1,41,10
1,41,9
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,42,13
1,42,11
1,41,15
1,44,14
1,43,14
1,42,12
1,42,14
1,45,14
1,43,12
1,41,11
1,43,14
1,42,10
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,14
1,48,20
1,44,15
1,44,14
1,44,13
1,45,13
1,41,10
1,41,11
1,41,10
1,40,12
1,41,10
1,43,13
1,41,9
1,41,10
1,41,12
1,41,10
1,41,10
1,41,10
1,42,11
1,42,10
1,41,10
1,45,12
1,44,12
1,42,12
1,41,10
1,41,12
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,44,13
1,43,13
1,42,10
1,41,10
1,41,13
1,42,9
1,41,10
1,41,9
1,41,12
1,42,10
1,41,12
1,42,12
1,42,13
1,41,10
1,41,10
1,41,10
1,41,12
1,41,10
1,41,10
1,41,12
1,41,11
1,41,10
1,41,10
1,41,11
1,41,10
1,40,12
1,44,11
1,42,14
1,44,10
1,41,10
1,41,10
1,41,14
1,41,13
1,40,12
1,41,11
1,41,10
1,41,9
1,41,10
1,41,12
1,42,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,12
1,41,11
1,41,10
1,41,11
1,41,10
1,41,10
1,41,12
1,41,14
1,44,11
1,42,11
1,41,11
1,41,11
1,43,12
1,43,11
1,42,11
1,58,11
1,44,11
1,41,11
1,42,11
1,41,10
1,42,10
1,42,11
1,41,11
1,41,10
1,41,9
1,62,12
1,41,10
1,41,12
1,41,12
1,43,10
1,41,10
1,41,10
1,41,10
1,45,10
1,42,11
1,41,10
1,43,12
1,41,10
1,41,10
1,41,10
1,41,11
1,41,9
1,41,10
1,41,11
1,43,11
1,41,10
1,41,11
1,41,12
1,43,11
1,41,12
1,41,10
1,42,12
1,40,11
1,43,11
1,42,11
1,41,11
1,42,10
1,41,11
1,42,12
1,42,11
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,17
1,43,12
1,41,10
1,41,10
1,42,11
1,41,10
1,41,10
1,41,12
1,47,10
1,41,10
1,41,10
1,41,11
1,42,10
1,42,12
1,42,11
1,41,12
1,41,10
1,41,10
1,41,10
1,42,14
1,41,11
1,41,13
1,41,15
1,44,10
1,41,10
1,41,10
1,41,13
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,9
1,41,10
1,42,12
1,42,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,42,10
1,41,13
1,41,11
1,42,12
1,41,13
1,41,10
1,41,10
1,41,10
1,43,11
1,41,10
1,41,10
1,41,11
1,41,11
1,41,10
1,41,10
1,41,12
1,42,11
1,42,10
1,41,11
1,42,11
1,41,10
1,41,10
1,41,11
1,46,15
1,42,10
1,41,10
1,41,12
1,41,10
1,41,11
1,41,9
1,41,12
1,41,10
1,41,11
1,42,12
1,41,12
1,41,10
1,42,10
1,42,12
1,41,11
1,41,9
1,41,9
1,41,12
1,41,10
1,41,12
1,42,12
1,41,10
1,41,10
1,41,10
1,41,11
1,42,12
1,41,11
1,41,9
1,42,14
1,43,11
1,41,12
1,41,10
1,41,12
1,41,10
1,41,10
1,41,10
1,41,11
1,41,12
1,41,11
1,41,10
1,42,13
1,43,15
1,42,10
1,41,10
1,42,11
1,41,10
1,41,10
1,41,13
1,43,12
1,41,10
1,41,11
1,41,11
1,41,10
1,41,10
1,41,11
1,42,10
1,41,10
1,41,10
1,41,11
1,41,11
1,41,10
1,41,13
1,43,14
1,42,10
1,41,11
1,44,11
1,41,12
1,41,13
1,41,11
1,41,11
1,41,10
1,41,10
1,41,10
1,44,12
1,41,11
1,41,9
1,41,10
1,41,11
1,42,10
1,41,10
1,41,12
1,41,10
1,42,13
1,42,11
1,42,11
1,42,10
1,42,10
1,41,11
1,42,11
1,41,10
1,41,10
1,41,11
1,42,11
1,41,12
1,41,10
1,41,11
1,42,11
1,42,10
1,41,10
1,41,12
1,41,10
1,42,11
1,41,11
1,44,13
1,42,12
1,41,10
1,41,11
1,40,10
1,41,10
1,41,10
1,41,12
1,41,11
1,41,10
1,41,10
1,41,12
1,42,11
1,42,10
1,41,11
1,42,11
1,41,10
1,41,10
1,41,13
1,43,12
1,41,10
1,42,12
1,43,13
1,41,10
1,41,11
1,41,11
1,43,10
1,41,10
1,41,10
1,41,12
1,42,10
1,41,10
1,41,10
1,42,13
1,41,12
1,45,11
1,42,11
1,45,14
1,42,11
1,42,11
1,41,13
1,42,12
1,40,12
1,41,12
1,44,13
1,41,10
1,41,11
1,41,11
1,41,11
1,41,11
1,41,10
1,41,13
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,11
1,41,11
1,41,11
1,41,11
1,41,12
1,43,13
1,41,10
1,41,10
1,41,10
1,42,14
1,40,11
1,41,10
1,41,11
1,42,12
1,41,11
1,40,10
1,42,12
1,41,10
1,41,10
1,41,10
1,41,10
1,40,11
1,41,11
1,41,11
1,41,10
1,41,10
1,41,12
1,43,13
1,42,10
1,41,10
1,41,11
1,42,10
1,41,9
1,41,10
1,41,14
1,42,11
1,40,10
1,41,9
1,41,11
1,41,10
1,41,10
1,73,12
1,42,11
1,41,10
1,40,10
1,42,11
1,40,12
1,41,10
1,40,12
1,42,11
1,42,11
1,41,11
1,41,10
1,41,11
1,41,9
1,41,11
1,41,13
1,44,11
1,42,11
1,41,9
1,43,12
1,41,11
1,41,10
1,41,11
1,42,11
1,41,10
1,41,10
1,41,14
1,44,10
1,41,11
1,40,10
1,41,10
1,42,10
1,41,10
1,41,10
1,41,10
1,42,11
1,41,10
1,41,10
1,43,11
1,41,11
1,41,10
1,41,12
1,40,11
1,41,10
1,41,10
1,41,12
1,42,11
1,41,11
1,41,12
1,44,12
1,41,10
1,41,10
1,41,10
1,42,11
1,40,10
1,41,9
1,41,11
1,41,10
1,43,10
1,41,10
1,42,11
1,41,10
1,42,9
1,41,10
1,41,11
1,41,11
1,41,10
1,41,12
1,42,12
1,40,11
1,41,11
1,42,11
1,42,9
1,41,9
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,43,11
1,41,9
1,41,10
1,43,12
1,44,11
1,41,10
1,41,11
1,41,17
1,42,10
1,41,9
1,41,10
1,44,14
1,44,12
1,41,10
1,41,11
1,41,10
1,41,10
1,41,10
1,41,11
1,42,12
1,42,10
1,41,10
1,41,12
1,41,10
1,41,11
1,41,10
1,41,12
1,41,10
1,41,10
1,41,12
1,40,10
1,41,13
1,43,13
1,42,11
1,42,10
1,41,10
1,41,11
1,43,12
1,42,10
1,41,11
1,41,14
1,42,11
1,42,10
1,41,10
1,41,11
1,41,10
1,41,9
1,41,10
1,43,11
1,41,10
1,41,9
1,41,10
1,41,10
1,43,10
1,41,10
1,41,11
1,42,14
1,43,10
1,41,10
1,41,11
1,42,10
1,41,10
1,41,10
1,43,11
1,41,11
1,41,10
1,41,10
1,41,10
1,42,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,42,13
1,43,11
1,43,12
1,42,11
1,44,11
1,41,10
1,42,10
1,41,10
1,42,11
1,41,11
1,41,9
1,41,10
1,42,11
1,42,11
1,44,14
1,42,10
1,41,11
1,41,11
1,41,10
1,42,10
1,42,11
1,42,10
1,41,12
1,42,11
1,41,10
1,41,10
1,41,11
1,43,11
1,41,10
1,41,10
1,41,11
1,41,10
1,41,10
1,41,11
1,41,11
1,40,10
1,41,11
1,41,10
1,43,14
1,42,10
1,41,10
1,40,12
1,42,14
1,40,10
1,41,11
1,41,11
1,41,11
1,41,10
1,41,10
1,41,10
1,41,11
1,41,10
1,41,9
1,41,11
1,41,10
1,41,10
1,41,12
1,41,10
1,41,10
1,40,10
1,41,11
1,43,10
1,41,10
1,42,12
1,42,12
1,41,10
1,40,10
1,41,10
1,41,11
1,42,10
1,41,10
1,42,13
1,41,10
1,41,10
1,41,11
1,42,13
1,43,11
1,43,11
1,41,10
1,42,11
1,42,11
1,41,10
1,40,11
1,41,12
1,42,11
1,41,11
1,43,13
1,43,11
1,41,10
1,41,10
1,42,20
1,41,11
1,42,10
1,41,11
1,41,11
1,40,10
1,41,10
1,41,10
1,42,9
1,41,10
1,41,10
1,42,11
1,41,10
1,41,10
1,41,12
1,41,12
1,42,11
1,41,11
1,42,11
1,42,11
1,41,10
1,41,10
1,45,13
1,43,11
1,43,10
1,41,11
1,43,11
1,41,9
1,42,10
1,41,12
1,42,11
1,41,9
1,41,10
1,43,11
1,41,10
1,41,10
1,42,12
1,42,13
1,44,10
1,41,10
1,41,11
1,42,11
1,41,10
1,41,11
1,43,11
1,41,10
1,41,10
1,44,12
1,44,13
1,43,13
1,45,16
1,43,11
1,44,11
1,43,11
1,43,10
1,41,14
1,43,12
1,43,40
1,54,19
1,45,13
1,48,12
1,42,12
1,42,12
1,42,11
1,42,10
1,40,12
1,44,11
1,42,10
1,42,13
1,42,13
1,42,11
1,41,11
1,43,12
1,42,11
1,42,10
1,41,10
1,42,12
1,42,11
1,41,10
1,41,12
1,41,11
1,41,10
1,41,10
1,41,11
1,43,10
1,41,9
1,41,10
1,41,11
1,40,11
1,42,9
1,41,11
1,41,11
1,42,10
1,40,10
1,41,13
1,45,12
1,41,9
1,42,11
1,42,11
1,42,10
1,40,10
1,41,11
1,41,11
1,42,10
1,41,10
1,41,11
1,42,10
1,41,10
1,41,11
1,41,11
1,43,11
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
1,41,10
